"","home","home_scores","home_total_shots","home_shots_on_target","home_total_passes","home_long_passes","home_total_dribbles","home_successful_dribbles","home_total_tackles","home_successful_tackles","home_total_interceptions","home_total_clearances","home_total_blocks","home_total_offsides","home_total_fouls","home_total_aerial_duels","home_total_touches","home_total_loss_of_possession","home_turnover","home_total_errors","home_total_saves","home_total_claims","home_total_punches","away","away_scores","away_total_shots","away_shots_on_target","away_total_passes","away_long_passes","away_total_dribbles","away_successful_dribbles","away_total_tackles","away_successful_tackles","away_total_interceptions","away_total_clearances","away_total_blocks","away_total_offsides","away_total_fouls","away_total_aerial_duels","away_total_touches","away_total_loss_of_possession","away_turnover","away_total_errors","away_total_saves","away_total_claims","away_total_punches","result"
"841","Tottenham",0,13,4,407,61,23,12,53,41,20,36,20,2,15,14,644,41,22,0,3,1,0,"Liverpool",0,12,3,441,51,19,12,41,29,11,27,21,5,11,20,645,52,17,1,4,1,0,"0"
"842","Southampton",2,13,6,360,62,18,11,25,15,18,58,23,1,16,29,568,26,11,0,5,2,1,"Leicester",2,27,7,342,72,17,10,30,19,29,15,22,0,10,21,528,22,12,0,3,1,0,"0"
"843","West Bromwich Albion",1,9,2,452,81,19,8,16,9,11,18,13,2,12,29,600,27,13,0,2,1,0,"Sunderland",0,9,2,352,78,12,7,32,24,11,43,11,5,13,22,513,16,10,1,1,2,0,"1"
"844","Chelsea",2,9,3,415,54,16,8,41,31,21,24,18,1,22,24,634,29,15,0,1,1,0,"Aston Villa",0,11,1,424,66,37,10,27,19,27,27,16,0,17,28,674,29,20,1,2,0,0,"1"
"845","Crystal Palace",1,6,1,326,70,16,6,38,21,26,14,19,2,9,13,484,32,13,0,1,1,0,"West Ham",3,24,4,516,42,29,17,33,27,9,20,14,4,11,13,699,21,9,0,0,0,0,"-1"
"846","Everton",0,12,3,458,69,25,13,37,25,10,21,13,0,12,15,614,23,10,1,3,1,0,"Manchester United",3,10,7,524,59,27,12,36,23,16,25,18,1,14,11,688,24,12,0,3,0,0,"-1"
"847","Manchester City",5,16,11,566,74,26,17,24,14,20,29,18,2,11,19,714,15,8,0,0,2,1,"Bournemouth",1,5,1,451,51,16,10,32,15,18,14,14,1,5,14,587,19,11,2,6,1,0,"1"
"848","Watford",0,8,1,306,75,15,8,43,25,17,25,23,1,11,10,474,28,16,0,3,2,0,"Arsenal",3,17,6,627,50,32,18,25,17,21,31,9,4,12,12,831,36,20,2,1,1,0,"-1"
"849","Newcastle",6,11,6,373,73,27,11,29,13,19,18,19,3,10,16,537,18,7,1,3,1,1,"Norwich",2,18,6,463,53,21,16,37,26,10,24,13,1,10,23,627,16,8,1,0,2,0,"1"
"850","Swansea",0,14,2,548,38,37,16,24,18,11,21,15,1,6,12,714,22,10,0,1,1,0,"Stoke",1,9,2,472,72,14,6,48,32,15,15,12,2,14,11,620,19,8,0,2,6,0,"-1"
"851","Aston Villa",1,9,3,377,70,28,15,20,14,19,18,16,0,10,22,526,20,14,0,2,1,0,"Swansea",2,10,4,419,69,14,6,31,16,19,22,15,4,8,22,574,23,15,0,2,3,1,"-1"
"852","Leicester",1,12,3,426,81,22,12,30,21,22,38,16,2,7,20,598,20,12,0,4,0,0,"Crystal Palace",0,9,4,456,78,21,9,27,15,16,14,10,3,11,27,613,28,15,1,2,1,0,"1"
"853","Norwich",0,16,3,466,75,14,10,13,8,8,45,5,4,11,24,654,22,15,0,3,1,0,"West Brom",1,7,4,316,87,7,5,20,10,23,45,19,0,6,25,472,19,11,0,3,3,4,"-1"
"854","Stoke",0,11,0,526,66,20,7,22,19,12,17,10,8,10,13,725,24,14,1,1,1,0,"Watford",2,13,3,269,64,13,3,27,20,20,25,21,0,18,13,455,29,18,0,0,0,4,"-1"
"855","West Ham",2,12,5,368,69,18,11,30,17,15,21,7,4,10,13,522,24,12,0,2,2,0,"Chelsea",1,9,4,459,53,23,13,29,18,14,27,9,5,12,14,605,14,5,0,3,2,0,"1"
"856","Arsenal",2,20,5,527,61,34,17,38,20,34,14,21,0,11,13,732,34,14,2,4,1,0,"Everton",1,10,5,404,64,28,18,53,36,18,21,18,2,14,8,591,25,13,1,3,1,0,"1"
"857","Sunderland",3,9,3,311,66,19,5,29,14,14,25,17,0,12,17,461,18,12,0,8,0,2,"Newcastle United",0,21,8,456,73,26,15,24,19,10,9,10,1,10,14,615,15,11,0,0,2,0,"1"
"858","Bournemouth",1,11,3,398,72,17,9,34,28,17,20,14,3,8,12,574,30,12,2,4,1,0,"Tottenham",5,14,9,489,71,16,6,31,22,25,24,8,5,15,18,650,26,8,1,1,0,0,"-1"
"859","Man Utd",0,6,1,543,74,27,13,27,19,14,24,14,0,17,23,699,28,12,0,1,0,0,"Man City",0,6,1,386,65,16,8,41,28,15,30,15,0,13,15,535,22,10,0,1,0,0,"0"
"860","Liverpool",1,15,2,586,61,25,14,29,23,15,24,15,4,8,15,784,32,13,1,2,1,0,"Southampton",1,8,3,383,75,20,6,43,29,23,33,20,2,11,20,566,23,12,0,1,0,0,"0"
"861","Chelsea",1,8,2,418,57,20,11,44,35,17,19,19,3,9,14,607,36,17,0,4,3,1,"Liverpool",3,16,7,568,53,18,9,38,27,10,16,17,2,21,13,739,39,13,1,1,0,0,"-1"
"862","Crystal Palace",0,10,5,355,64,28,10,25,20,18,13,10,0,12,15,511,21,15,0,1,1,0,"Manchester United",0,5,1,456,58,13,5,33,23,15,28,8,1,15,15,613,29,16,1,5,0,0,"0"
"863","Newcastle",0,15,6,412,52,22,9,23,15,13,10,11,4,6,13,562,15,10,0,2,1,1,"Stoke",0,9,2,388,62,18,8,25,16,9,18,10,5,16,8,522,15,9,0,6,1,1,"0"
"864","Swansea",0,7,3,550,64,18,10,23,9,9,10,23,5,12,11,678,22,11,1,2,4,0,"Arsenal",3,14,5,461,42,20,14,26,16,21,19,20,1,7,12,619,16,11,1,3,2,2,"-1"
"865","Watford",2,20,5,400,74,16,9,23,17,8,25,10,3,16,12,561,18,9,1,3,2,3,"West Ham",0,8,3,397,75,17,6,24,15,13,39,19,3,12,24,560,18,11,2,3,1,0,"1"
"866","West Brom",2,14,6,330,65,19,16,14,12,12,27,23,2,3,28,513,28,5,0,2,3,0,"Leicester",3,13,5,370,86,13,2,41,25,16,27,15,1,11,23,533,13,9,0,4,3,1,"-1"
"867","Manchester City",2,21,5,722,49,12,8,24,16,5,27,12,4,4,21,891,26,12,1,2,3,0,"Norwich",1,5,3,296,58,17,8,23,15,14,33,17,0,13,10,438,14,6,2,3,2,1,"1"
"868","Everton",6,15,8,687,49,17,7,21,8,9,21,10,3,6,12,842,22,12,1,7,2,0,"Sunderland",2,18,9,326,70,17,13,26,19,17,26,10,2,5,13,477,10,6,0,3,2,0,"1"
"869","Southampton",2,11,2,479,71,15,4,28,21,19,28,20,1,5,19,636,23,14,0,2,0,0,"Bournemouth",0,16,2,514,55,17,7,22,18,12,21,12,1,5,14,662,31,16,0,0,0,3,"1"
"870","Tottenham",3,17,6,530,82,24,9,33,21,19,31,13,3,6,19,707,28,15,1,1,0,1,"Aston Villa",1,13,2,325,69,29,12,33,24,19,24,13,1,15,20,510,21,16,0,3,1,0,"1"
"871","Bournemouth",0,20,5,582,60,24,9,28,22,13,6,5,4,9,13,761,30,15,0,0,0,0,"Newcastle United",1,2,1,300,74,20,6,36,27,15,36,34,3,11,14,461,22,10,0,5,2,6,"-1"
"872","Leicester",2,12,6,376,69,20,10,21,15,32,23,24,4,11,11,545,14,9,0,3,0,1,"Watford",1,8,4,556,96,16,6,23,13,16,26,15,1,10,13,696,17,9,1,4,3,0,"1"
"873","Sunderland",0,9,3,314,78,14,5,16,13,17,52,23,2,10,24,486,21,14,0,3,0,1,"Southampton",1,14,5,551,67,6,3,19,14,13,34,9,5,11,29,712,17,6,0,3,1,0,"-1"
"874","West Ham",1,16,5,435,41,23,12,33,18,15,16,10,2,11,12,596,11,8,0,3,0,1,"Everton",1,13,4,427,53,29,15,22,10,7,24,15,1,12,6,583,14,7,0,4,1,3,"0"
"875","Man Utd",2,13,3,648,80,21,7,25,15,15,12,12,1,11,21,782,20,10,0,0,0,1,"West Brom",0,4,0,304,84,13,10,28,21,26,27,18,0,10,22,472,24,9,2,1,1,0,"1"
"876","Norwich",1,9,5,338,57,15,6,17,11,11,13,15,3,12,11,452,17,11,0,0,1,0,"Swansea",0,8,0,706,71,9,6,18,12,13,15,4,2,7,14,828,19,10,0,4,2,2,"1"
"877","Stoke",1,8,2,282,51,25,8,30,15,16,21,19,3,13,15,442,23,18,0,4,0,1,"Chelsea",0,19,4,488,53,25,15,27,19,14,12,9,1,10,7,638,22,14,0,1,1,0,"1"
"878","Aston Villa",0,3,0,410,66,26,16,12,7,18,30,18,1,7,12,557,23,16,0,3,3,1,"Man City",0,13,3,578,51,8,5,32,16,10,17,7,1,7,19,714,20,15,0,0,2,0,"0"
"879","Liverpool",1,22,4,499,63,29,17,43,28,11,19,13,1,7,18,699,34,19,3,2,2,0,"Crystal Palace",2,9,4,287,84,31,15,42,25,17,40,19,2,6,10,485,31,15,0,3,0,0,"-1"
"880","Arsenal",1,10,4,458,67,15,5,51,35,13,20,19,1,12,12,641,34,18,1,3,0,0,"Tottenham",1,14,4,383,67,33,16,27,22,14,35,21,3,17,16,564,27,8,1,3,0,2,"0"
"881","Watford",1,11,5,385,76,14,8,32,28,24,32,16,1,6,12,570,26,12,1,5,2,0,"Man Utd",2,13,6,499,85,12,4,26,18,22,19,17,5,12,13,674,40,19,1,4,2,2,"-1"
"882","West Bromwich Albion",2,4,1,247,66,12,5,37,20,25,28,16,5,14,13,405,18,10,0,2,2,0,"Arsenal",1,12,3,684,41,28,17,18,13,17,17,12,1,10,14,846,22,11,0,0,0,0,"1"
"883","Chelsea",1,21,7,606,62,35,22,29,19,13,20,11,6,4,25,792,26,12,1,2,0,1,"Norwich",0,4,2,331,74,17,10,48,26,11,34,20,3,12,13,504,24,11,0,6,2,0,"1"
"884","Everton",4,16,9,608,69,19,13,31,23,10,13,11,1,6,6,758,29,17,0,3,0,0,"Aston Villa",0,10,3,403,55,28,8,31,18,23,15,12,4,9,5,550,12,8,1,5,2,0,"1"
"885","Newcastle United",0,9,1,454,66,23,8,34,20,21,19,21,1,9,19,626,26,11,0,4,5,0,"Leicester",3,18,7,375,68,26,14,35,27,23,16,20,1,12,20,563,27,15,1,0,3,0,"-1"
"886","Southampton",0,15,1,517,64,12,9,24,16,12,8,15,0,8,19,667,25,14,0,2,0,0,"Stoke",1,16,4,389,77,16,8,22,13,20,38,16,2,8,20,557,22,12,0,1,5,0,"-1"
"887","Swansea",2,11,4,401,79,12,5,34,17,20,39,20,0,8,14,574,27,22,1,2,3,0,"Bournemouth",2,16,4,535,59,27,17,16,11,20,19,22,5,9,18,712,26,14,0,2,0,1,"0"
"888","Man City",1,12,3,530,80,27,14,27,16,14,26,16,1,5,24,722,25,6,1,6,0,0,"Liverpool",4,14,9,390,67,19,11,46,32,32,28,25,5,13,19,590,21,11,1,2,1,0,"-1"
"889","Tottenham",4,22,12,484,61,16,9,34,21,22,29,13,3,13,12,674,35,12,1,3,0,0,"West Ham",1,10,4,372,64,22,13,37,28,18,26,19,3,9,10,567,32,19,1,8,2,0,"1"
"890","Crystal Palace",0,19,7,452,71,23,10,27,15,13,22,14,1,18,18,655,29,14,1,2,2,0,"Sunderland",1,12,4,244,59,17,12,36,26,12,66,18,3,11,20,442,20,10,0,7,2,2,"-1"
"891","Sunderland",2,18,5,436,56,15,9,33,18,14,14,9,0,4,17,587,19,17,0,4,1,0,"Stoke",0,7,3,476,63,20,15,17,8,13,23,17,3,10,12,621,26,11,1,3,1,1,"1"
"892","Aston Villa",2,13,6,494,62,34,16,14,9,25,30,17,3,6,21,750,25,20,1,4,3,0,"Watford",3,14,6,263,67,11,5,37,21,21,35,14,0,13,10,464,17,12,0,4,1,5,"-1"
"893","Bournemouth",3,19,10,542,55,22,9,35,22,22,21,13,2,6,13,732,26,13,1,3,1,0,"Everton",3,11,6,407,88,26,13,33,24,19,27,24,0,6,11,599,27,14,1,6,2,0,"0"
"894","Crystal Palace",5,19,8,449,76,28,14,27,18,15,17,16,3,7,17,626,17,9,0,1,1,0,"Newcastle United",1,7,2,394,75,19,9,36,22,9,21,11,1,13,13,542,18,10,0,3,4,1,"1"
"895","Manchester City",3,16,9,390,56,13,7,41,28,26,30,9,2,14,13,570,28,13,0,7,0,2,"Southampton",1,12,8,463,50,20,13,25,18,13,18,10,6,11,10,630,38,17,1,5,1,0,"1"
"896","Leicester",1,7,3,267,59,24,11,35,27,23,26,18,3,5,17,440,25,18,0,1,3,0,"Man Utd",1,10,2,593,64,20,8,31,20,11,23,8,1,7,16,754,29,13,0,2,1,0,"0"
"897","Tottenham",0,9,4,497,67,14,8,17,15,17,41,10,2,14,12,660,33,15,0,1,0,2,"Chelsea",0,5,1,360,71,9,2,31,23,26,21,12,4,9,10,520,25,15,0,4,0,0,"0"
"898","West Ham",1,18,6,435,59,26,13,24,20,7,24,7,0,15,19,604,24,13,0,3,1,0,"West Brom",1,7,3,274,83,8,4,36,23,14,25,16,2,16,16,431,28,11,2,5,2,0,"0"
"899","Norwich",1,7,2,354,63,13,8,26,16,7,36,15,3,8,7,494,14,7,1,1,1,1,"Arsenal",1,12,3,626,43,17,10,18,10,18,24,7,2,6,12,785,25,15,0,2,0,0,"0"
"900","Liverpool",1,10,2,534,56,20,7,33,24,20,27,16,0,12,10,711,29,17,0,0,1,0,"Swansea",0,9,0,449,59,15,9,29,22,24,24,26,1,6,15,626,32,9,0,1,1,0,"1"
"901","Stoke",2,7,4,413,63,39,26,28,17,41,18,17,3,9,10,618,36,19,1,4,1,0,"Man City",0,11,4,462,48,16,11,53,27,20,7,8,0,10,5,614,30,18,0,2,0,0,"1"
"902","Swansea",0,10,2,543,60,23,13,26,20,28,31,14,2,3,19,740,27,12,1,2,1,2,"Leicester",3,16,5,386,77,17,6,32,19,24,22,19,2,19,9,537,17,7,0,2,0,1,"-1"
"903","Southampton",1,23,5,539,56,10,7,31,25,10,9,15,3,4,11,717,29,20,0,1,2,0,"Aston Villa",1,9,2,332,74,13,6,19,12,22,34,20,0,9,14,508,34,15,0,3,5,1,"0"
"904","Watford",2,14,7,385,82,22,11,19,11,15,37,12,4,11,15,548,15,13,0,1,3,3,"Norwich",0,7,1,373,114,12,8,20,9,10,44,13,5,10,19,520,16,9,1,5,2,0,"1"
"905","West Bromwich Albion",1,11,4,286,75,13,7,29,15,25,15,19,2,13,15,452,25,13,0,2,0,0,"Tottenham",1,9,3,559,73,21,14,22,15,14,23,20,1,10,10,712,23,14,1,3,1,0,"0"
"906","Man Utd",0,21,1,496,61,30,12,26,18,11,11,9,2,10,12,672,27,15,1,2,1,2,"West Ham",0,9,2,302,67,20,8,39,27,25,34,20,1,13,23,487,25,17,0,1,1,0,"0"
"907","Arsenal",3,17,7,712,48,19,9,25,20,16,20,11,1,7,15,873,19,11,0,5,2,1,"Sunderland",1,11,4,257,57,13,5,22,13,20,34,18,1,11,16,414,20,6,0,3,0,0,"1"
"908","Chelsea",0,19,6,524,68,30,19,37,21,17,20,18,2,10,11,729,19,9,1,4,1,1,"Bournemouth",1,15,5,323,61,28,16,38,19,20,36,24,1,13,11,521,28,16,0,7,2,1,"-1"
"909","Newcastle United",2,6,1,389,81,26,9,36,26,18,22,17,1,6,21,555,26,15,0,1,1,0,"Liverpool",0,11,1,574,77,20,10,35,26,12,11,11,2,10,34,741,34,17,0,0,0,0,"1"
"910","Everton",1,19,4,526,50,26,14,37,24,12,24,11,0,4,5,737,27,11,0,4,1,0,"Crystal Palace",1,14,5,331,73,28,13,39,25,25,40,24,3,11,14,548,28,18,0,3,0,0,"0"
"911","Norwich",1,9,2,402,72,5,0,27,18,8,35,13,1,9,8,535,22,14,0,2,0,0,"Everton",1,15,3,572,73,21,9,11,11,7,23,15,1,6,14,726,26,17,0,0,1,0,"0"
"912","Sunderland",0,14,2,415,70,22,11,19,8,17,28,16,3,6,12,588,21,9,2,6,1,0,"Watford",1,13,8,464,97,19,11,30,19,18,28,13,2,9,26,635,28,23,0,3,0,3,"-1"
"913","Crystal Palace",1,12,5,296,88,20,14,24,17,10,40,13,3,11,18,480,22,13,0,3,2,0,"Southampton",0,15,3,397,72,19,7,28,14,7,47,13,0,13,18,573,28,18,0,4,0,0,"1"
"914","Man City",2,13,5,557,43,16,8,22,15,19,24,10,3,13,5,701,18,8,0,6,1,1,"Swansea",1,13,7,492,52,9,7,24,16,9,16,18,6,15,13,625,28,14,0,3,0,0,"1"
"915","West Ham",0,24,10,335,57,23,9,21,15,16,35,14,1,7,23,538,20,7,0,3,1,0,"Stoke",0,12,3,397,62,15,6,30,21,13,23,19,0,9,22,586,24,16,0,9,5,1,"0"
"916","Bournemouth",2,11,5,370,50,33,14,45,27,14,39,13,1,12,23,559,18,10,2,4,2,1,"Man Utd",1,11,5,474,78,33,18,37,23,10,17,8,2,12,9,644,24,11,1,3,0,0,"1"
"917","Aston Villa",0,18,2,426,66,16,9,23,16,15,17,12,2,8,13,582,28,17,1,2,1,0,"Arsenal",2,8,4,523,57,10,7,27,18,9,20,11,5,7,14,667,31,17,3,2,1,1,"-1"
"918","Liverpool",2,28,8,642,66,18,13,22,17,11,8,7,1,7,13,793,16,11,2,0,0,1,"West Brom",2,4,2,270,77,9,5,22,9,23,41,22,1,10,20,437,30,15,1,6,0,1,"0"
"919","Tottenham",1,20,8,477,75,13,4,21,18,13,28,20,2,13,15,646,34,17,1,2,2,0,"Newcastle United",2,8,4,335,89,18,3,29,25,19,25,15,4,14,14,515,24,18,0,7,1,0,"-1"
"920","Leicester",2,9,5,275,62,24,15,37,26,19,33,24,0,16,20,448,14,6,0,2,0,1,"Chelsea",1,11,4,522,80,21,11,29,14,18,32,12,2,8,23,716,31,13,0,3,3,2,"1"
"921","West Bromwich Albion",1,7,2,256,66,10,5,24,10,18,18,12,0,12,13,384,21,12,0,4,2,0,"Bournemouth",2,16,6,552,63,20,14,17,12,11,33,13,3,9,11,703,13,8,0,1,0,1,"-1"
"922","Chelsea",3,17,7,577,69,29,16,28,17,15,20,5,0,12,12,735,24,8,0,2,1,0,"Sunderland",1,11,3,280,55,17,11,43,27,18,32,13,3,12,18,443,17,5,1,4,0,0,"1"
"923","Everton",2,13,5,538,98,33,20,21,13,8,21,6,2,6,24,716,31,12,1,2,0,0,"Leicester",3,10,5,272,64,16,8,50,30,35,33,18,2,14,19,476,29,21,0,2,2,2,"-1"
"924","Man Utd",1,11,2,606,73,13,9,27,17,17,6,10,2,4,13,768,24,12,0,2,1,0,"Norwich",2,6,4,283,65,13,10,24,15,15,68,22,1,10,15,469,30,15,0,1,2,1,"-1"
"925","Southampton",0,11,4,386,82,12,5,36,24,27,14,12,5,18,20,573,35,20,1,3,1,0,"Tottenham",2,12,5,383,65,24,12,25,20,14,23,20,2,9,18,563,27,12,0,4,2,2,"-1"
"926","Stoke",1,26,5,469,57,15,9,27,17,12,17,7,0,6,22,636,29,19,0,1,0,0,"Crystal Palace",2,12,3,342,86,17,10,25,16,12,26,18,1,12,12,506,28,16,1,4,1,1,"-1"
"927","Newcastle United",1,8,4,369,81,22,8,35,26,12,32,8,0,9,19,555,27,17,0,6,3,1,"Aston Villa",1,10,7,413,78,24,9,30,22,30,17,18,0,14,21,611,39,26,0,3,3,2,"0"
"928","Watford",3,6,5,268,86,14,6,36,28,18,23,17,1,6,14,428,27,14,1,4,4,0,"Liverpool",0,12,4,500,81,16,8,25,19,10,30,12,10,9,14,687,38,16,1,2,1,1,"1"
"929","Swansea",0,22,2,678,43,15,9,22,18,14,21,8,4,6,16,847,23,15,3,2,0,1,"West Ham",0,11,2,239,57,18,4,22,13,26,41,26,2,9,13,433,15,9,1,2,0,1,"0"
"930","Arsenal",2,8,5,386,52,23,12,29,20,24,29,26,3,5,14,569,25,15,0,5,1,1,"Man City",1,20,6,648,48,21,9,31,19,18,27,9,1,16,10,830,22,10,0,3,0,1,"1"
"931","Stoke",2,13,3,334,60,22,12,31,24,23,27,13,3,13,19,510,21,12,1,6,3,0,"Man Utd",0,11,6,453,65,19,7,28,16,11,10,11,1,16,12,598,28,13,1,1,0,0,"1"
"932","Swansea",1,7,2,513,60,12,8,20,15,16,28,20,1,10,7,677,26,13,1,3,2,1,"West Bromwich Albion",0,9,3,386,92,11,5,22,14,24,10,16,2,13,11,536,26,16,1,1,0,1,"1"
"933","Tottenham",3,15,10,533,62,17,9,22,18,21,19,15,3,4,18,702,28,14,1,3,0,1,"Norwich",0,11,3,354,60,16,4,27,18,18,31,13,8,13,12,522,19,9,0,7,2,1,"1"
"934","Aston Villa",1,15,8,431,57,22,9,27,18,15,29,11,3,14,25,621,25,16,0,3,1,2,"West Ham",1,10,4,309,59,18,9,30,21,9,48,14,1,13,22,495,24,14,0,6,1,0,"0"
"935","Bournemouth",0,10,4,464,53,28,14,36,26,20,37,14,2,10,18,655,17,10,0,0,1,0,"Crystal Palace",0,8,1,369,92,23,10,32,18,24,28,15,1,13,18,557,26,8,1,4,1,0,"0"
"936","Chelsea",2,18,2,544,66,20,6,28,21,5,12,11,2,7,17,691,21,3,0,1,1,1,"Watford",2,12,2,327,63,18,7,35,29,15,22,20,1,15,13,498,24,11,0,0,0,1,"0"
"937","Liverpool",1,26,5,517,109,21,9,25,18,14,50,11,5,11,29,724,24,10,1,3,5,0,"Leicester",0,7,3,278,76,17,7,30,21,19,47,21,1,8,22,474,32,21,1,3,1,1,"1"
"938","Manchester City",4,19,9,616,47,25,16,22,15,11,20,5,3,10,12,774,23,9,0,2,3,1,"Sunderland",1,11,3,306,64,13,7,36,20,15,24,18,1,11,15,454,24,12,0,5,1,0,"1"
"939","Newcastle United",0,10,1,365,53,15,8,45,23,11,28,16,0,16,12,526,20,7,2,6,0,2,"Everton",1,20,7,517,46,34,22,26,18,15,16,20,3,12,17,716,25,10,0,1,4,0,"-1"
"940","Southampton",4,14,5,312,62,15,9,31,22,15,22,6,6,10,7,462,18,12,0,5,2,1,"Arsenal",0,8,5,571,50,11,9,20,11,16,20,11,1,9,18,724,37,17,1,1,0,1,"1"
"941","Crystal Palace",0,10,2,407,67,16,8,15,12,20,14,11,4,11,18,560,18,11,0,3,0,0,"Swansea",0,5,3,373,70,7,3,19,11,17,39,17,1,16,14,516,20,12,0,2,3,3,"0"
"942","Everton",3,15,3,481,53,31,20,31,19,16,17,9,2,10,5,653,22,10,0,1,1,1,"Stoke",4,8,5,472,47,24,12,41,21,15,31,11,5,12,8,637,24,16,1,0,0,2,"-1"
"943","Watford",1,9,1,312,95,17,5,25,15,40,22,18,2,11,21,475,20,13,1,1,0,3,"Tottenham",2,10,3,525,87,21,10,17,12,25,30,11,1,13,16,689,19,13,0,0,1,4,"-1"
"944","West Brom",1,22,5,343,50,19,10,25,20,16,16,15,2,7,18,534,24,17,0,2,2,0,"Newcastle",0,7,2,334,54,13,5,25,15,17,47,25,1,13,10,520,25,12,0,3,2,3,"1"
"945","Norwich",2,9,4,361,67,17,9,34,20,15,23,5,2,10,26,516,26,13,0,3,2,0,"Aston Villa",0,6,3,383,74,26,14,29,20,13,30,13,0,21,25,554,33,24,2,2,0,0,"1"
"946","West Ham",2,14,5,408,78,23,6,33,23,18,41,15,1,6,21,603,25,16,0,3,2,2,"Southampton",1,14,3,409,65,21,10,27,21,20,27,15,2,12,19,597,22,8,2,2,0,0,"1"
"947","Man Utd",0,12,2,617,58,25,5,31,21,15,10,8,2,16,6,777,27,14,0,3,0,1,"Chelsea",0,8,3,312,61,17,10,31,26,14,29,16,0,6,10,469,27,11,0,2,1,0,"0"
"948","Arsenal",2,13,6,531,54,19,11,30,19,20,10,17,1,7,12,706,31,19,0,3,1,0,"Bournemouth",0,10,3,517,57,23,11,30,19,13,27,12,1,8,8,665,23,14,0,4,1,1,"1"
"949","Leicester",0,11,4,329,57,19,9,22,14,20,36,29,2,11,11,518,23,15,0,5,0,0,"Man City",0,21,5,498,61,11,8,27,18,22,35,22,1,8,24,692,24,13,1,4,0,1,"0"
"950","Sunderland",0,8,3,326,72,18,9,21,13,15,46,12,1,8,24,505,28,16,0,5,1,0,"Liverpool",1,17,6,465,75,11,8,25,16,12,29,18,0,16,22,621,29,19,1,3,2,1,"-1"
"951","West Ham",2,18,10,285,70,16,3,32,22,27,54,26,1,11,26,497,27,21,0,1,2,1,"Liverpool",0,23,2,501,60,23,10,21,18,13,19,11,3,8,13,702,32,20,1,8,0,0,"1"
"952","West Bromwich Albion",2,17,5,360,72,16,7,23,16,9,16,10,1,7,11,503,15,9,0,2,2,1,"Stoke",1,10,3,429,55,14,7,20,13,11,21,14,1,15,18,581,24,15,0,3,0,0,"1"
"953","Arsenal",1,15,3,468,46,23,13,36,19,18,13,10,2,10,14,652,28,14,1,6,2,0,"Newcastle",0,15,6,454,72,28,17,33,20,24,16,18,0,9,12,616,15,6,0,2,3,0,"1"
"954","Leicester",0,16,2,479,84,19,9,32,18,13,8,20,0,9,18,643,35,21,0,0,1,0,"Bournemouth",0,9,0,426,89,24,14,33,24,17,45,14,2,5,22,609,22,12,0,2,4,0,"0"
"955","Man Utd",2,19,6,515,67,26,15,25,19,16,7,14,1,14,13,666,18,10,0,3,1,0,"Swansea",1,9,4,430,64,11,6,31,16,16,26,17,1,10,8,591,29,14,0,4,1,1,"1"
"956","Norwich",1,10,1,356,75,18,8,11,9,11,47,11,2,9,25,520,24,12,0,4,0,2,"Southampton",0,10,4,494,82,5,2,27,19,15,23,9,2,7,23,636,19,13,1,0,1,2,"1"
"957","Sunderland",3,13,5,381,70,9,5,34,21,14,33,5,2,8,26,571,25,14,1,2,0,2,"Aston Villa",1,9,3,470,85,22,13,19,14,14,22,16,2,13,15,662,23,9,0,3,1,0,"1"
"958","Watford",1,12,4,410,84,32,17,28,18,26,19,16,0,6,18,595,38,22,0,3,0,1,"Manchester City",2,16,5,436,66,18,10,45,28,18,40,13,1,10,13,642,32,18,1,3,0,2,"-1"
"959","Crystal Palace",0,8,4,373,62,26,8,27,17,23,19,10,0,12,13,529,17,8,0,1,1,0,"Chelsea",3,10,4,593,70,20,10,31,23,14,21,12,0,15,13,757,25,15,0,4,1,0,"-1"
"960","Everton",1,12,3,406,86,22,16,27,21,23,33,25,3,8,14,604,26,13,0,3,0,2,"Tottenham",1,19,4,599,68,11,6,34,18,19,25,14,1,11,7,776,30,13,0,2,0,0,"0"
"961","Aston Villa",1,13,3,434,68,12,10,32,25,19,26,15,2,15,20,643,28,20,0,1,1,0,"Crystal Palace",0,10,1,427,83,14,7,20,10,27,18,17,5,9,21,639,39,19,3,3,2,0,"1"
"962","Bournemouth",1,11,4,413,60,36,18,36,18,22,25,23,0,8,10,595,25,18,2,3,0,0,"West Ham",3,10,5,432,63,25,18,39,21,14,20,17,4,5,21,601,28,17,1,3,0,1,"-1"
"963","Newcastle",3,14,6,514,50,16,7,37,27,23,14,20,3,10,8,678,31,17,1,1,1,0,"Man Utd",3,12,4,432,59,25,10,29,22,13,27,14,1,12,8,616,34,19,0,3,2,1,"0"
"964","Southampton",2,15,7,453,79,13,6,28,22,26,31,15,4,9,20,633,16,11,0,1,1,0,"Watford",0,4,1,465,78,17,6,16,10,26,29,16,3,11,15,621,21,7,2,4,1,8,"1"
"965","Stoke",3,14,4,621,71,13,8,35,21,18,13,8,2,5,12,800,15,8,1,1,1,2,"Norwich",1,6,2,348,46,25,14,18,10,12,29,11,1,8,14,525,21,9,1,2,1,1,"1"
"966","Chelsea",2,14,2,528,58,22,11,20,13,16,34,12,1,13,24,719,21,9,1,3,1,0,"West Bromwich Albion",2,14,5,317,67,11,7,32,21,28,18,16,1,8,16,519,24,12,0,1,1,0,"0"
